original_address,used_variant,lat,lon,result
"0 Stinson Ct, Cambridge, MA","0 Stinson Ct, Cambridge, MA",42.36037376711128,-71.11175214982367,Nominatim match
"Massachusetts Ave & Douglass St, Cambridge, MA","Massachusetts Ave & Douglass St, Cambridge, MA",42.3639033,-71.1011828,PostGIS: Intersection massachusetts ave & douglass st
"Pearl St & Perry St, Cambridge, MA","Pearl St & Perry St, Cambridge, MA",42.3616044,-71.1059893,PostGIS: Intersection pearl st & perry st
"800 Technology Sq, Cambridge, MA","800 Technology Sq, Cambridge, MA",42.364289299999996,-71.09138218530252,Nominatim match
"Mellen St & Mellen St, Cambridge, MA","Mellen St & Mellen St, Cambridge, MA",42.380855,-71.1197795,PostGIS: Intersection mellen st & mellen st
"0 Hillside Pl, Cambridge, MA","0 Hillside Pl, Cambridge, MA",42.38590994711774,-71.12480863474745,Nominatim match
"Hastings Sq & Chestnut St, Cambridge, MA","Hastings Sq & Chestnut St, Cambridge, MA",42.356868,-71.109219,PostGIS: Intersection hastings sq & chestnut st
"Evereteze Way & Roosevelt Towers, Cambridge, MA","Evereteze Way & Roosevelt Towers, Cambridge, MA",42.37340286795123,-71.09233092230072,PostGIS: Buffer intersection roosevelt towers & evereteze way
"James St & Mason St, Cambridge, MA","James St & Mason St, Cambridge, MA",42.3762497,-71.1235554,PostGIS: Intersection james st & mason st
"Sixth St & Charles St, Cambridge, MA","Sixth St & Charles St, Cambridge, MA",42.3682496,-71.0855848,PostGIS: Intersection sixth st & charles st
"Lawrence St & Corporal Mcternan St, Cambridge, MA","Lawrence St & Corporal Mcternan St, Cambridge, MA",42.36124577359811,-71.10680938905732,PostGIS: False intersection lawrence st & corporal mcternan st
"Massachusetts Ave & River St, Cambridge, MA","Massachusetts Ave & River St, Cambridge, MA",42.3655877,-71.1040004,PostGIS: Intersection massachusetts ave & river st
"0 Rollins Ct, Cambridge, MA","0 Rollins Ct, Cambridge, MA",42.36173481522168,-71.10416127315636,Nominatim match
"Lawrence St & Dana Pl, Cambridge, MA","Lawrence St & Dana Pl, Cambridge, MA",42.3619421,-71.1079586,PostGIS: False intersection lawrence st & dana pl
"First St & Canal Pk, Cambridge, MA","First Street & Canal Park, Cambridge, MA",42.368753081120495,-71.07727147131425,PostGIS: False intersection first street & canal park
"Lexington Ave & Brattle St, Cambridge, MA","Lexington Ave & Brattle St, Cambridge, MA",42.3763373,-71.139761,PostGIS: Intersection lexington ave & brattle st
"100 Stearns St, Cambridge, MA","100 Stearns St, Cambridge, MA",42.385684709065536,-71.1304071153976,Nominatim match
"Davenport St & Elm St, Cambridge, MA","Davenport St & Elm St, Cambridge, MA",42.3905657,-71.1179596,PostGIS: Intersection davenport st & elm st
"Clark St & Hampshire St, Cambridge, MA","Clark St & Hampshire St, Cambridge, MA",42.367489,-71.0932339,PostGIS: Intersection clark st & hampshire st
"Pemberton St & Rindge Ave, Cambridge, MA","Pemberton St & Rindge Ave, Cambridge, MA",42.3925962,-71.1252781,PostGIS: Intersection pemberton st & rindge ave
"Agassiz St & Linnaean St, Cambridge, MA","Agassiz St & Linnaean St, Cambridge, MA",42.3844599,-71.12138,PostGIS: Intersection agassiz st & linnaean st
"Sherman St & Walden St, Cambridge, MA","Sherman St & Walden St, Cambridge, MA",42.3861785,-71.1309867,PostGIS: Intersection sherman st & walden st
"Quincy Sq & Cambridge St, Cambridge, MA","Quincy Sq & Cambridge St, Cambridge, MA",42.372380241266804,-71.11563250040028,PostGIS: Buffer intersection quincy sq & cambridge st
"Buena Vista Pk & Richdale Ave, Cambridge, MA","Buena Vista Park & Richdale Avenue, Cambridge, MA",42.3887582,-71.1243349,PostGIS: Intersection buena vista park & richdale avenue
"Second St & Linsky Way, Cambridge, MA","Second Street & Linskey Way, Cambridge, MA",42.364745,-71.0800048,PostGIS: Intersection second street & linskey way
"Prospect St & Cambridge St, Cambridge, MA","Prospect St & Cambridge St, Cambridge, MA",42.3733859,-71.0981456,PostGIS: Intersection prospect st & cambridge st
"Hurlbut St & Martin St, Cambridge, MA","Hurlbut St & Martin St, Cambridge, MA",42.3833849,-71.1202729,PostGIS: Intersection hurlbut st & martin st
"Macarelli Way & Marion St, Cambridge, MA","Macarelli Way & Marion St, Cambridge, MA",42.3725283,-71.0888886,PostGIS: Intersection macarelli way & marion st
"Pacific St & Waverly St, Cambridge, MA","Pacific St & Waverly St, Cambridge, MA",42.36013468904941,-71.10209769318502,PostGIS: False intersection pacific st & waverly st
"Dudley St & Jackson St, Cambridge, MA","Dudley St & Jackson St, Cambridge, MA",42.395707,-71.135269,PostGIS: Intersection dudley st & jackson st
"Hancock St & Centre St, Cambridge, MA","Hancock St & Centre St, Cambridge, MA",42.369206,-71.107828,PostGIS: Intersection hancock st & centre st
"Dudley St & Clifton St, Cambridge, MA","Dudley St & Clifton St, Cambridge, MA",42.3956968,-71.136298,PostGIS: Intersection dudley st & clifton st
"Bishop Allen Dr & Massachusetts Ave, Cambridge, MA","Bishop Allen Dr & Massachusetts Ave, Cambridge, MA",42.363331,-71.098361,PostGIS: False intersection bishop allen dr & massachusetts ave
"Hardwick St & Berkshire Pl, Cambridge, MA","Hardwick St & Berkshire Pl, Cambridge, MA",42.3700267,-71.0910364,PostGIS: False intersection hardwick st & berkshire pl
"Montgomery St & Rindge Ave, Cambridge, MA","Montgomery St & Rindge Ave, Cambridge, MA",42.3935176,-71.1331031,PostGIS: Intersection montgomery st & rindge ave
"0 Camelia Ave, Cambridge, MA","0 Camelia Ave, Cambridge, MA",42.374758,-71.10501485,Nominatim match
"Windsor St & Main St, Cambridge, MA","Windsor St & Main St, Cambridge, MA",42.3632071,-71.0967081,PostGIS: Intersection windsor st & main st
"Hurlbut St & Linnaean St, Cambridge, MA","Hurlbut St & Linnaean St, Cambridge, MA",42.3844978,-71.121204,PostGIS: Intersection hurlbut st & linnaean st
"Highland Ave & Marie Ave, Cambridge, MA","Highland Ave & Marie Ave, Cambridge, MA",42.3738862,-71.1050115,PostGIS: Intersection highland ave & marie ave
"Western Ave & Magazine St, Cambridge, MA","Western Ave & Magazine St, Cambridge, MA",42.36531030178478,-71.10461687107342,PostGIS: False intersection western ave & magazine st
"Churchill Ave & Massachusetts Ave, Cambridge, MA","Churchill Ave & Massachusetts Ave, Cambridge, MA",42.399847,-71.133426,PostGIS: Intersection churchill ave & massachusetts ave
